Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
p16734_f5ha10_ul103,0.00,0,,0.28,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
us8_p09730_f5hb52,0.27,2,,0.00,0,,0.17,1,,0.00,0,,61.64,0.00,38.36,0.00
q6sw14_ul139,0.25,2,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
q6swd5_rl1,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
us33a_f7v999,0.14,1,,0.25,1,,0.00,0,,0.00,0,,36.36,63.64,0.00,0.00
f5hf23_rl5a,0.25,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
rl11_q6swd1,0.10,1,,0.24,1,,0.00,0,,0.00,0,,29.17,70.83,0.00,0.00
p16781_ul43_q6sw89,0.24,2,,0.00,0,,0.00,0,,0.11,1,,68.61,0.00,0.00,31.39
q6sw05_ul150,0.24,2,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16773_ul131,0.10,1,,0.00,0,,0.00,0,,0.20,1,,33.33,0.00,0.00,66.67
p16722_b9vxi8_ul17_f5hht4,0.00,0,,0.20,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
ul14_q6swb7_p16756,0.20,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
f5hg95_p09705_us29,0.00,0,,0.00,0,,0.00,0,,0.20,1,,0.00,0.00,0.00,100.00
f5hig1_ul102_p16827,0.00,0,,0.12,1,,0.00,0,,0.20,1,,0.00,38.46,0.00,61.54
b9vxm8_f5hg51_ul70_p17149,0.12,1,,0.17,1,,0.00,0,,0.14,1,,28.77,38.36,0.00,32.88
ul105_p16736_f5hen8,0.00,0,,0.14,1,,0.00,0,,0.17,1,,0.00,46.15,0.00,53.85
ul124_p16742_f5hhs3,0.00,0,,0.00,0,,0.00,0,,0.17,1,,0.00,0.00,0.00,100.00
